127.0.0.1 - - [11/Jun/2020:15:48:07 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:48:31 +0530] "GET /DealConsolidationPlatform/loginPage.html HTTP/1.1" 200 8601
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:48:31 +0530] "GET /DealConsolidationPlatform/user-mgmt/lib/jquery-val.js HTTP/1.1" 200 50278
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:48:32 +0530] "GET /DealConsolidationPlatform/user-mgmt/components/font-awesome/css/font-awesome.css HTTP/1.1" 200 31002
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:48:32 +0530] "GET /DealConsolidationPlatform/user-mgmt/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 146011
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:48:32 +0530] "GET /DealConsolidationPlatform/user-mgmt/lib/pan.js HTTP/1.1" 200 13247
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:48:32 +0530] "GET /DealConsolidationPlatform/user-mgmt/plugins/jQuery/jquery.min.js HTTP/1.1" 200 85596
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:48:32 +0530] "GET /DealConsolidationPlatform/user-mgmt/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37051
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:48:32 +0530] "GET /DealConsolidationPlatform/user-mgmt/img/axis-bar.png HTTP/1.1" 200 32976
127.0.0.1 - - [11/Jun/2020:15:48:32 +0530] "GET /DealConsolidationPlatform/api/validate HTTP/1.1" 404 1043
127.0.0.1 - - [11/Jun/2020:15:48:32 +0530] "GET /DealConsolidationPlatform/api/validate HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:48:32 +0530] "GET /IPA/api/getUserDetails HTTP/1.1" 401 1030
127.0.0.1 - - [11/Jun/2020:15:48:32 +0530] "GET /DealConsolidationPlatform/api/validate HTTP/1.1" 404 1043
127.0.0.1 - - [11/Jun/2020:15:48:32 +0530] "GET /DealConsolidationPlatform/api/validate HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:48:32 +0530] "GET /IPA/api/getAllCheckersId?userRole=ipa_checker HTTP/1.1" 401 1030
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:48:32 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:48:40 +0530] "GET /DealConsolidationPlatform/user-mgmt/components/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 66624
